Date,FCHI,GDAXI,IBEX,NDX,N225,STI
01/06/2020,0.52301,-0.92524,-0.12178,1.58093,-1.92812,-0.11115
01/07/2020,-0.02062,0.75769,-0.22002,-0.02339,1.58557,0.89691
01/08/2020,0.30971,0.70328,0.12102,0.74239,-1.58600,-0.06068
01/09/2020,0.19132,1.30435,-0.10015,0.86315,2.27985,0.04898
01/10/2020,-0.09007,-0.08711,-0.08562,-0.25607,0.46523,0.26048
1/14/2020,0.06260,-0.19911,-0.47430,0.74200,0.72939,0.44710
1/15/2020,-0.13716,-0.17993,-0.17437,0.02490,-0.45301,-0.41547
1/16/2020,0.10636,-0.02137,0.63718,0.98378,0.06918,0.64331
1/17/2020,1.01635,0.71748,1.13018,0.53261,0.45078,0.09239
1/21/2020,-0.90116,0.21963,-0.72567,-0.07743,-0.73770,-1.03736
1/22/2020,-0.58075,-0.29640,-0.39197,0.23917,0.69647,0.20797
1/23/2020,-0.65411,-0.94655,-0.57825,0.30861,-0.98653,-0.59706
1/24/2020,0.87479,1.39634,0.45596,-0.82263,0.13330,0.16866
1/28/2020,-1.64756,-1.88099,-0.81696,-0.55440,-2.59977,-1.83053
1/29/2020,0.48937,0.15981,0.65683,0.11742,0.70261,0.04149
1/30/2020,-1.40566,-1.41787,-0.72328,0.37811,-1.73290,-0.37430
1/31/2020,-1.12057,-1.34016,-1.16738,-1.59517,0.98492,-0.53602
02/03/2020,0.44970,0.48581,0.39206,1.48720,-1.01021,-1.19362
02/04/2020,1.74280,1.79707,1.66815,2.25173,0.48918,1.28364
02/05/2020,0.84477,1.46930,1.60682,0.35741,1.01272,1.37054
02/06/2020,0.87795,0.71334,0.95755,0.83387,2.34803,0.97705
02/07/2020,-0.13971,-0.45045,-0.00306,-0.47562,-0.19123,-1.56154
02/10/2020,-0.23378,-0.14647,0.05095,1.22362,-0.59772,-0.57782
02/12/2020,1.46962,1.87755,1.25936,1.00743,0.73708,1.88591
2/13/2020,-0.19003,-0.03165,-0.30832,-0.18221,-0.14041,-0.10181
2/14/2020,-0.39120,-0.00887,0.47316,0.29012,-0.58988,-0.00187
2/18/2020,-0.20667,-0.45957,0.49092,0.06461,-2.10662,-0.72936
2/19/2020,0.89449,0.78492,0.77454,0.91926,0.88809,0.53289
2/20/2020,-0.80405,-0.91065,-1.52491,-0.93971,0.33469,-0.46878
2/21/2020,-0.53886,-0.62158,-0.45213,-1.89934,-0.39436,-0.55332
2/25/2020,-5.98057,-5.98468,-6.64299,-6.69581,-3.39799,-0.71901
2/26/2020,0.08570,-0.12212,0.71092,0.43922,-0.79598,-1.29771
2/27/2020,-3.38041,-3.24119,-3.61625,-5.05109,-2.15429,-0.18686
2/28/2020,-3.43748,-3.93417,-2.96706,0.29778,-3.73795,-3.28703
03/02/2020,0.44385,-0.27353,0.20956,4.80086,0.94674,-0.11165
03/03/2020,1.11219,1.06966,0.79872,-3.24528,-1.23202,0.39288
03/04/2020,1.32107,1.18029,1.11053,4.04518,0.08217,0.18099
03/05/2020,-1.91748,-1.52020,-2.58072,-3.15129,1.07973,-0.22372
03/06/2020,-4.22893,-3.43080,-3.60444,-1.64311,-2.75390,-1.91635
